                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.2126,                0.90081,                 1.2198,                0.20696,                0.21752,                  0.132,                0.07246,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.1956,                0.88589,                 1.2118,                0.08648,                0.21925,                0.07658,                0.04067,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.1784,                0.86955,                 1.2032,                0.14907,                0.19143,                0.12854,                0.07289,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.1741,                0.87348,                 1.1912,                0.13607,                0.17509,                0.10275,                0.05818,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.1759,                0.86066,                 1.1932,                0.13792,                0.20216,                0.09859,                0.05293,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     76,                  1.159,                 0.8512,                 1.1999,                0.14288,                0.21093,                0.09494,                0.04956,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.1098,                0.81354,                 1.1673,                0.09415,                 0.2461,                0.07434,                0.04058,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.1486,                0.84159,                 1.1848,                 0.1212,                0.21093,                 0.0832,                0.04583,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.1365,                0.83168,                 1.1852,                0.19974,                0.20103,                0.14656,                0.07878,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.1245,                0.80377,                 1.1699,                0.09986,                0.22001,                0.06539,                0.03833,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.1012,                0.79417,                 1.1642,                0.11548,                0.15604,                0.09285,                0.05349,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.1078,                0.80071,                  1.154,                0.10595,                0.19976,                0.08466,                0.04507,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     83,                  1.108,                0.79162,                 1.1543,                0.07256,                 0.3276,                0.05304,                0.02907,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.0916,                0.77757,                 1.1559,                 0.1017,                0.19166,                0.06966,                0.03928,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.0959,                0.79375,                 1.1571,                0.09807,                0.18116,                0.06259,                0.03239,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.0754,                0.80853,                 1.1605,                0.08046,                  0.208,                0.05864,                0.03028,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.0545,                0.77203,                  1.125,                0.10809,                0.20021,                0.06882,                0.04008,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.0762,                0.77108,                 1.1395,                0.12261,                0.20973,                0.08398,                0.04845,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.0557,                0.76884,                 1.1392,                0.11305,                0.23657,                0.07556,                 0.0403,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.0248,                0.73409,                 1.1296,                0.07806,                 0.2278,                0.06198,                0.03467,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.9612,                0.61088,                 1.0973,                0.07306,                0.36051,                0.07168,                0.03978,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                0.93825,                0.58369,                 1.0723,                0.07461,                 0.3171,                0.07012,                0.03809,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                0.92914,                0.56654,                 1.0651,                0.08913,                 0.2095,                0.06785,                0.03655,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                0.94258,                0.58032,                 1.0817,                0.09198,                 0.2095,                0.06585,                0.03578,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                0.91679,                0.55342,                 1.0714,                0.09218,                 0.2095,                0.06568,                0.03616,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.89431,                0.54395,                 1.0614,                0.10239,                 0.2095,                0.08135,                0.04599,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.89062,                0.53513,                  1.057,                0.09259,                0.22803,                0.07284,                0.04255,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.87143,                0.53638,                 1.0461,                0.08522,                0.23755,                0.06833,                0.03991,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.85903,                0.52624,                  1.045,                0.07794,                0.29736,                0.06659,                0.03921,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.87033,                 0.5111,                 1.0417,                  0.081,                0.22705,                0.06686,                0.03918,                    nan,                    nan,                    nan,             2.8437e-05,             2.8437e-05,             2.8437e-05
